ProID,Info,,time,Value,
GenTime,2025-03-07 15:47:38,,0.0,0.008,
Record Length,100000 Points,,1.4E-6,0.008,
Sample Interval,1.4E-6 s,,2.8E-6,0.008,
Trigger Time,0.0 s,,4.2E-6,0.008,
Source,CH1,,5.6E-6,0.008,
Vertical Units,(V)/grid,,6.9999996E-6,0.008,
Vertical Scale,0.2,,8.4E-6,0.008,
Vertical Offset,4,,9.8E-6,0.008,
Horizontal Units,s/grid,,1.12E-5,0.008,
Horizontal Scale,0.01,,1.25999995E-5,0.008,
Probe Atten,1.0,,1.3999999E-5,0.008,
,,,1.5399999E-5,0.008,
,,,1.68E-5,0.008,
,,,1.82E-5,0.008,
,,,1.96E-5,0.0,
,,,2.1E-5,0.0,
,,,2.24E-5,0.0,
,,,2.38E-5,0.0,
,,,2.5199999E-5,0.0,
,,,2.6599999E-5,0.0,
,,,2.7999999E-5,0.0,
,,,2.94E-5,0.0,
,,,3.0799998E-5,0.0,
,,,3.2199998E-5,0.0,
,,,3.36E-5,0.0,
,,,3.5E-5,0.0,
,,,3.64E-5,0.0,
,,,3.78E-5,0.0,
,,,3.92E-5,0.0,
,,,4.06E-5,0.0,
,,,4.2E-5,0.0,
,,,4.34E-5,0.0,
,,,4.48E-5,0.0,
,,,4.62E-5,0.0,
,,,4.76E-5,0.0,
,,,4.9E-5,0.0,
,,,5.0399998E-5,0.0,
,,,5.1799998E-5,0.0,
,,,5.3199998E-5,0.0,
,,,5.4599997E-5,0.0,
,,,5.5999997E-5,0.0,
,,,5.74E-5,0.0,
,,,5.88E-5,-0.008,
,,,6.02E-5,0.0,
,,,6.1599996E-5,0.0,
,,,6.3E-5,0.0,
,,,6.4399996E-5,-0.008,
,,,6.58E-5,-0.008,
,,,6.72E-5,-0.008,
,,,6.86E-5,0.0,
,,,7.0E-5,-0.008,
,,,7.14E-5,-0.008,
,,,7.28E-5,-0.008,
,,,7.42E-5,-0.008,
,,,7.56E-5,-0.008,
,,,7.7E-5,-0.008,
,,,7.84E-5,-0.008,
,,,7.98E-5,-0.008,
,,,8.12E-5,-0.008,
,,,8.2599996E-5,-0.008,
,,,8.4E-5,-0.008,
,,,8.5399995E-5,-0.008,
,,,8.68E-5,-0.008,
,,,8.8199995E-5,-0.008,
,,,8.96E-5,-0.008,
,,,9.1E-5,-0.008,
,,,9.24E-5,-0.008,
,,,9.38E-5,-0.008,
,,,9.52E-5,-0.008,
,,,9.66E-5,-0.008,
,,,9.8E-5,-0.008,
,,,9.94E-5,-0.008,
,,,1.00799996E-4,-0.008,
,,,1.022E-4,-0.008,
,,,1.03599996E-4,-0.008,
,,,1.05E-4,-0.008,
,,,1.06399995E-4,-0.016,
,,,1.078E-4,-0.016,
,,,1.09199995E-4,-0.016,
,,,1.106E-4,-0.008,
,,,1.11999994E-4,-0.016,
,,,1.134E-4,-0.016,
,,,1.148E-4,-0.016,
,,,1.162E-4,-0.016,
,,,1.176E-4,-0.016,
,,,1.19E-4,-0.016,
,,,1.204E-4,-0.016,
,,,1.21799996E-4,-0.016,
,,,1.2319999E-4,-0.016,
,,,1.246E-4,-0.016,
,,,1.26E-4,-0.016,
,,,1.274E-4,-0.016,
,,,1.2879999E-4,-0.016,
,,,1.302E-4,-0.016,
,,,1.316E-4,-0.016,
,,,1.33E-4,-0.016,
,,,1.344E-4,-0.016,
