ProID,Info,,time,Value,
GenTime,2025-03-07 15:45:18,,0.0,0.0016,
Record Length,100000 Points,,1.4E-6,8.0E-4,
Sample Interval,1.4E-6 s,,2.8E-6,8.0E-4,
Trigger Time,0.0 s,,4.2E-6,0.0016,
Source,CH2,,5.6E-6,8.0E-4,
Vertical Units,(V)/grid,,6.9999996E-6,-8.0E-4,
Vertical Scale,0.02,,8.4E-6,8.0E-4,
Vertical Offset,4,,9.8E-6,0.0,
Horizontal Units,s/grid,,1.12E-5,-0.0019999999,
Horizontal Scale,0.01,,1.25999995E-5,0.0016,
Probe Atten,1.0,,1.3999999E-5,0.0016,
,,,1.5399999E-5,-0.0028,
,,,1.68E-5,8.0E-4,
,,,1.82E-5,0.0016,
,,,1.96E-5,-8.0E-4,
,,,2.1E-5,0.0,
,,,2.24E-5,0.0,
,,,2.38E-5,8.0E-4,
,,,2.5199999E-5,0.0023999999,
,,,2.6599999E-5,8.0E-4,
,,,2.7999999E-5,-0.0028,
,,,2.94E-5,8.0E-4,
,,,3.0799998E-5,0.0016,
,,,3.2199998E-5,0.0,
,,,3.36E-5,8.0E-4,
,,,3.5E-5,8.0E-4,
,,,3.64E-5,-8.0E-4,
,,,3.78E-5,0.0016,
,,,3.92E-5,0.0032,
,,,4.06E-5,0.0,
,,,4.2E-5,0.0,
,,,4.34E-5,0.0,
,,,4.48E-5,0.0,
,,,4.62E-5,0.0016,
,,,4.76E-5,0.0023999999,
,,,4.9E-5,0.0,
,,,5.0399998E-5,0.0,
,,,5.1799998E-5,0.0,
,,,5.3199998E-5,0.0016,
,,,5.4599997E-5,-8.0E-4,
,,,5.5999997E-5,0.0,
,,,5.74E-5,8.0E-4,
,,,5.88E-5,0.0,
,,,6.02E-5,8.0E-4,
,,,6.1599996E-5,8.0E-4,
,,,6.3E-5,8.0E-4,
,,,6.4399996E-5,0.0,
,,,6.58E-5,-8.0E-4,
,,,6.72E-5,0.0016,
,,,6.86E-5,0.0,
,,,7.0E-5,0.0016,
,,,7.14E-5,0.0,
,,,7.28E-5,-8.0E-4,
,,,7.42E-5,0.0032,
,,,7.56E-5,0.0,
,,,7.7E-5,0.0,
,,,7.84E-5,8.0E-4,
,,,7.98E-5,8.0E-4,
,,,8.12E-5,0.0023999999,
,,,8.2599996E-5,8.0E-4,
,,,8.4E-5,-0.0019999999,
,,,8.5399995E-5,8.0E-4,
,,,8.68E-5,8.0E-4,
,,,8.8199995E-5,-8.0E-4,
,,,8.96E-5,8.0E-4,
,,,9.1E-5,0.0016,
,,,9.24E-5,-8.0E-4,
,,,9.38E-5,0.0,
